Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      204    0.000    0.000    0.001    0.000 inspect.py:1748(_signature_get_user_defined_method)
      202    0.000    0.000    0.000    0.000 _funcs.py:21(is_public_function)
      197    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      195    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
      195    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:152(__init__)
      195    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:156(__enter__)
      195    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:160(__exit__)
      195    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:185(cb)
    195/1    0.007    0.000    1.902    1.902 <frozen importlib._bootstrap>:1002(_find_and_load)
    193/1    0.004    0.000    1.902    1.902 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      193    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
      189    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
      189    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
      189    0.011    0.000    0.011    0.000 {method '__exit__' of '_io._IOBase' objects}
      189    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
      187    0.005    0.000    0.031    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      187    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    187/1    0.004    0.000    1.900    1.900 <frozen importlib._bootstrap>:659(_load_unlocked)
      187    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      187    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
      187    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
      187    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      187    0.003    0.000    0.304    0.002 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    187/1    0.003    0.000    1.899    1.899 <frozen importlib._bootstrap_external>:844(exec_module)
      187    0.012    0.000    0.789    0.004 <frozen importlib._bootstrap_external>:916(get_code)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
      187    0.004    0.000    0.417    0.002 <frozen importlib._bootstrap_external>:1036(get_data)
